date,new_holders,cumulative_holders
2026-07-07,125152,125152
2026-07-08,11756,136908
2026-07-09,7380,144288
2026-07-10,6829,151117
2026-07-11,3699,154816
2026-07-12,2810,157626
2026-07-13,5414,163040
2026-07-14,3428,166468
2026-07-15,2676,169144
2026-07-16,3369,172513
2026-07-17,3948,176461
2026-07-18,2191,178652
2026-07-19,2010,180662
2026-07-20,2795,183457
2026-07-21,2769,186226
2026-07-22,1800,188026
2026-07-23,2055,190081
2026-07-24,1782,191863
2026-07-25,1484,193347
2026-07-26,3287,196634
2026-07-27,2535,199169
2026-07-28,1384,200553
2026-07-29,2099,202652
2026-07-30,2955,205607
2026-07-31,2404,208011
2026-08-01,1448,209459
2026-08-02,3130,212589
2026-08-03,2620,215209
2026-08-04,1445,216654
2026-08-05,1553,218207
2026-08-07,3377,221584
2026-08-08,1672,223256
