wallet,first_seen_date,prior_tx_count,new_to_crypto_proxy
kDnk4nByYAEHHUowv1d28257Ncsa44wyAQmYdZpbkDt,2026-07-07,1000.0,False
Btm7pCaB8osTTUPf9sTdU4Pj1mwW1SmKcsAXGavtCnqD,2026-07-07,1.0,True
CZ1k4WSAShAUVYkTp2r8Wcht2gJHjkGjCt3TjUe7EEK8,2026-07-07,494.0,False
BRbvsgGEik7f6texRUHrDuKpZbA38K8oqFUEpyrrbL2T,2026-07-07,14.0,False
H1mFf2hup7bVtRLz8sLbt4uGq6uBNg6FsNndH8wHMaHw,2026-07-07,1000.0,False
HJcgA3iqiowt7fYGttCLyMDyQ9gh8ye5dxNAzQ3uGBMF,2026-07-07,2.0,True
HXNy5XGTmpiXpQBpsyhy5eAys5DDDKeV4RzRrYFaeY2M,2026-07-07,3.0,True
TFVh4VEhDtFa53DJatnqJRTE8KsTopVtNBjptrzzRR1,2026-07-07,16.0,False
2X2qQEine5nnCDDLFQVykfUrUkfNiCAspTjDhMpXGtwb,2026-07-07,132.0,False
EhJr6GUvzvsjUKd4CBquAdDrWqSB12z5DUa7gGhoVwhz,2026-07-07,7.0,False
A7eYm3DCH1zf5ahd3vpc3d2Q13ftvTo6HAgWTvPK16gT,2026-07-07,140.0,False
6HMr3CcPnWjoXHJtxQcEGUg6LhmWu7USvnibGR7ymdRz,2026-07-07,1000.0,False
Afcv9fESbSuttUunNQTJyM7EtGD5BoCfU9zUgUHm7N7F,2026-07-07,34.0,False
9mfnbf5c8zhkZJKDrJNuDFFHyUuDQPdL4uKWQ89DQYXe,2026-07-07,604.0,False
6xSgHofVqVHutHHdWsdaRBqzfowaDhMqrXQioJbDbkKq,2026-07-07,56.0,False
HCCBUqkB87LNz3GXK3UqWaSvmT8j5DDyxWfB2phaDLGj,2026-07-07,9.0,False
3Ugs7h3ngo7baC9xo5uvTDsMsUKpt1pGZQzRdUTPsgtf,2026-07-07,169.0,False
9bCzviULULriMDRkbSkLnAcnjRkv56MjEwNfKmr8Wj2z,2026-07-07,367.0,False
9TnUT6i1zQJLBHmStdVjfdAZg9JNWPVeGdMSRBB2wJvm,2026-07-07,38.0,False
HBe8Q2YY9yQmZQ5KVWAVDDoRXgnJwJcNDqQNGbcDi7r,2026-07-07,31.0,False
9SUf1KLTfwofNpEFFFMFsbaPmvE1Pfa1DAPUZ1Aws7pR,2026-07-07,19.0,False
4rHDfDeTjQPXW5WxjSf7aUJRjLNYqucGvtPWJ9wv2sKQ,2026-07-07,28.0,False
DNre1djMT7A2jsix5JDVf1L4C6ZdS7DaoBtNfe8LLJJf,2026-07-07,2.0,True
3wicCSS6DnS3ZtFh9bLh1JvggyxZ2DDKVTkLcQzRFmBs,2026-07-07,352.0,False
3YdSbuF7rWRm91ugQKF63K3hYaXewsAr561KFX7s4jvu,2026-07-07,30.0,False
3v8tSdatWwokJzE4oJwKUnnJrnAqkxZP5Sk8ZjBbPAnC,2026-07-07,26.0,False
4jq2GXu6QCFrPX2HwK89obV5eRC1SWBUsTTSv5JpCbUH,2026-07-07,59.0,False
CDYKcBtGwtL7Zwf4hhTDQZoJZJwjq38ZktGRoE8Yy1uK,2026-07-07,1000.0,False
7ioWuKjJuGcaPnaj8SJQrxYjchzhmAgbBvVLRCkv5gcB,2026-07-07,3.0,True
Ed7B6KWuv1fcMNzJrBnhKoDbWG1BuuYYdK9daJ5duKnp,2026-07-07,174.0,False
CQYxM8LZhBGeRLEDxhe4sgwYT1cyPzM3NAeHFb9beWb1,2026-07-07,6.0,False
9boSHYteEDMaRn74kSc2YJcpQoY3iaAedPwYMKb1axX7,2026-07-07,1000.0,False
Hy3nWB596JvbEpSe43HUEL2XQLLGimNPuWtywjY7UkkR,2026-07-07,1000.0,False
BrniBhCdujhrsefQHi2eAwbWPwMGrgB5QDYgB3xkUS9n,2026-07-07,33.0,False
3d8tLwxYNbRNpvRxdZpsPi3GZohgmnwag1MCfegb4r2x,2026-07-07,1.0,True
AmpPdhL7Mn2Rbf3f97CdoydoRemAX22MkkqqJxUmuw22,2026-07-07,446.0,False
VZ5oLthgzswRjTB6pk7cPsUZfdGUhUZSvTW2EauShXM,2026-07-07,33.0,False
CMzCN2rHGqvNFTsurJJkKLWTQgEm1SEGv5ikbd24hswG,2026-07-07,1000.0,False
6fWebEEKr1QfQhR1KXD2W1pbXCeuwe5MNqUw54mVpcee,2026-07-07,4.0,True
3wk6jyaCjyZAFbswqek5YiypPnBHKbGBZeE4o6nMC3CN,2026-07-07,33.0,False
6VYZHMB1Tzszpa5qd13acdv3smMNeFiL4T5xN8doxgdQ,2026-07-07,3.0,True
87M9f8DSn28VfuzzuYp8RmttsvdwWzvKMJrufVtAZqhK,2026-07-07,2.0,True
DAhvKN7AnrXQg7o5qLuarF8RJUpxgwtLCrrzjf4sgsUA,2026-07-07,1.0,True
9fqEmXGUWnBdQVWjyCEKRPgFg1fYLAyjXR44vLSjBivB,2026-07-07,16.0,False
AwTgou7iP6bixwe7BbpRqhDeF4Be5shDJ8cqBomWtZDU,2026-07-07,114.0,False
DTKHCze5cp1J8oHQXNpvUGPzpkMpyZPSL5u28tJ8vnUm,2026-07-07,11.0,False
7HuLqyPDJoT4KmXTRRgHXEvnTwCyzimRPXQrNqqXUeCc,2026-07-07,1000.0,False
6VTv5K7VDGGGAjYV8YyNy4LuCL815y8f4s8gpRTGnVni,2026-07-07,1000.0,False
AjqDvxmPe6c1Tfw9dDK4aLuxRaahwpMyqiotCG6ix4fS,2026-07-07,5.0,False
tuVBEd7Nr5ycNCyMdC3DC2kYBMZaWNHMxZcd9j3jwzo,2026-07-07,24.0,False
BFRhF9hsFAKe1XfZkc469CveXyooUw5y5XXWxMki19ot,2026-07-07,438.0,False
4JZVgauXh642AP23y7ZCQRy4yfahpfu9JZjhVr8JK3w9,2026-07-07,27.0,False
GdFZkxyPXkxXn8KG4bfqJJtvvKpTnXHmxGYTP6FSeSie,2026-07-07,23.0,False
BgcgwjV9cbCSfHuBLyCcHq4rQfaK1RDb4nX55EyzZ5j2,2026-07-07,1000.0,False
Dir9SQYmdbRLkxBrU1HYwUEWkVWBjaUYQ218pJi39pkX,2026-07-07,129.0,False
8wSqYfWLYgZrHTyTtHY1Yebidxn7vRn2udFph9zVeqPo,2026-07-07,127.0,False
9YvTrouGJCuPy26LfdJVvMmuNGo1iqxTkFRycJaJtJsu,2026-07-07,90.0,False
EeJvAXy6gE2ckwbTAcYVGb1YywmNtgmmeMJzcqZeV4kc,2026-07-07,2.0,True
FNacjpMpCaaqBcmXSqWvQq3TwqUVsAv7M4FpZyFv5mk,2026-07-07,328.0,False
2o1q2d1B52CGMSZuwZfuPdCNB6NJvB8qkX1KKLRkdDRb,2026-07-07,1000.0,False
9W8WmhtHTkEJbJz2jnLwFHikxErNkmRYvnaQz6be7TFv,2026-07-07,13.0,False
Hvyu1CysiCF2uFwmGsYbGBBFn7TdJ514F4e3Ue4a59ix,2026-07-07,493.0,False
9SnTAazFQpk374krQGVuB1tM2rMPHZp5wvZFqZUhB4wW,2026-07-07,1000.0,False
97m5HdHuoTh2RRMgzb1vCqhn9TZUroBPuohKcF764u6Y,2026-07-07,20.0,False
5EXN1oKCq1xPXReJVpys4cFT9Df5cFhyXV87ux4kHkmS,2026-07-07,1000.0,False
4AtXmsbKuMztmfet49YEvRE9JNN2mnobVAQtH56ec8Cg,2026-07-07,3.0,True
4H4UvtgsFKmCEL5j58U4SRHejcTHWpXYpCaAWWmu7dzJ,2026-07-07,323.0,False
3fSFDCUj8oLYMDHAqhKdL1A13xgktL42pZmNczf13Jw2,2026-07-07,4.0,True
EdK1vzhuKXND8wZjknkcaad5CdYroXBp953onjFxfart,2026-07-07,2.0,True
6HY5n6ghrRDrKS4QhQivA3uG66CJ4m8RbnxMHe1S8Lu,2026-07-07,26.0,False
8ZbVjtmGGJ7Z4tnk6nDhPo8BEa5qppYEYd1Ph5TmBmrW,2026-07-07,28.0,False
9Rg5UVvvKcqk9hauVRRATUHcro2Gg1BL1drEiyUpsbfx,2026-07-07,19.0,False
6ox3BcNjPmRJnpQuUagnchMVjsrWwL2tS1XzfVnTGujh,2026-07-07,13.0,False
Dc5yJXQYV2biahoPHSt95X7o6cB9fyNaoMq9QeV13euA,2026-07-07,88.0,False
FGnCtCosyagwRmcRXyYsoD4Y1WJ6JaweDoRLbgVXa4dV,2026-07-07,1.0,True
AMSHKE8RRTdYRabWPTfpQhJ6vKTe52SjWZjjXcj67ov9,2026-07-07,55.0,False
J5LvXesiiuQwGVagwsmebgycZqNrRE64BzaS8LKNqrnQ,2026-07-07,11.0,False
2Auk3e31kq6tRb8ZoTtTw7XiUF8efWhvmgmVqvv7up2E,2026-07-07,336.0,False
968E1ThdBwaqVYYFxy3eV9ZmsQWwSvwggknpXStBkrZR,2026-07-07,19.0,False
5aknvUEnFUHVTzhqhveaWGnJ8Kz8vBTLEV2wbwTk8Hz8,2026-07-07,,False
3UXPUqUgt9rxk622nHK6FMorugmm93cKVNYTc3smRyJz,2026-07-07,,False
3kgWauVYG9XTxWRhjr5HVPBuAKqjQ2zSUoh4zBnAisxh,2026-07-07,1.0,True
Fh7DfYcgXbDuaTVVjLuBn4KZQgL6nmdrVbJdFA4EPfbx,2026-07-07,34.0,False
G6HqtDADimwrABrneXbVdeMXJzqcDANjESjgmJieepq1,2026-07-07,1.0,True
GcSViVvubdsdK8EKbpwo5ubfzi8Z6pTT1B5U7BuXBnKi,2026-07-07,625.0,False
Gi4KbVeST7Ukbh2krVfbiZdLPNBjjxwzeTceCcAMkYDJ,2026-07-07,14.0,False
Bd2bN4ayx7v3CxyKkbqG2A6YUHUxHHKz5xvC5RqE1xwc,2026-07-07,1.0,True
7xFf3LKkFSDZUjohg6j1wcyFyv6cbFLdSGnbXQ5bPBXV,2026-07-07,1.0,True
6E3X7gbcu1XXzrqyHChN63g2sqEg5eos833W8CVwakch,2026-07-07,96.0,False
H7wC2a7DLrvjnQUmVpDR3ChE5oAch3gcj5rQcuqDkSb7,2026-07-07,,False
8xQKU1FUPKKtaJbzjhMjRfYZz2p1m2smvygFMqeA73pA,2026-07-07,21.0,False
6nAHYv4i1wZvMSSHtw2bb7Sdt3YwZ2ceQPbHSHhRi7TN,2026-07-07,,False
