cohort_date,day_offset,pct_retained,cohort_size
2026-07-07,1,92.5,125152
2026-07-07,7,81.1,125152
2026-07-08,1,83.4,11756
2026-07-08,7,64.7,11756
2026-07-08,30,52.7,11756
2026-07-09,1,79.0,7380
2026-07-09,7,61.2,7380
2026-07-09,30,48.1,7380
2026-07-10,1,80.8,6829
2026-07-10,7,57.1,6829
2026-07-10,30,42.4,6829
2026-07-11,1,78.9,3699
2026-07-11,7,58.0,3699
2026-07-11,30,45.5,3699
2026-07-12,1,75.9,2810
2026-07-12,7,60.2,2810
2026-07-12,30,47.4,2810
2026-07-13,1,83.6,5414
2026-07-13,7,62.7,5414
2026-07-13,30,51.4,5414
2026-07-14,1,78.9,3428
2026-07-14,7,63.6,3428
2026-07-14,30,49.6,3428
2026-07-15,1,81.6,2676
2026-07-15,7,61.7,2676
2026-07-15,30,49.8,2676
2026-07-16,1,77.4,3369
2026-07-16,7,55.8,3369
2026-07-16,30,42.1,3369
2026-07-17,1,81.4,3948
2026-07-17,7,60.4,3948
2026-07-17,30,46.8,3948
2026-07-18,1,80.8,2191
2026-07-18,7,61.4,2191
2026-07-18,30,47.1,2191
2026-07-19,1,81.5,2010
2026-07-19,7,62.5,2010
2026-07-19,30,47.7,2010
2026-07-20,1,81.1,2795
2026-07-20,7,61.6,2795
2026-07-20,30,49.0,2795
2026-07-21,1,82.3,2769
2026-07-21,7,64.4,2769
2026-07-21,30,51.4,2769
2026-07-22,1,79.7,1800
2026-07-22,7,60.9,1800
2026-07-22,30,48.6,1800
2026-07-23,1,82.9,2055
2026-07-23,7,61.4,2055
2026-07-23,30,45.8,2055
2026-07-24,1,82.3,1782
2026-07-24,7,59.3,1782
2026-07-24,30,45.5,1782
2026-07-25,1,79.4,1484
2026-07-25,7,57.4,1484
2026-07-26,1,71.9,3287
2026-07-26,7,56.5,3287
2026-07-27,1,82.7,2535
2026-07-27,7,58.3,2535
2026-07-28,1,77.0,1384
2026-07-28,7,55.8,1384
2026-07-29,1,78.2,2099
2026-07-29,7,56.8,2099
2026-07-30,1,80.3,2955
2026-07-31,1,83.8,2404
2026-07-31,7,58.7,2404
2026-08-01,1,76.9,1448
2026-08-01,7,53.9,1448
2026-08-02,1,70.8,3130
2026-08-02,7,55.6,3130
2026-08-03,1,80.0,2620
2026-08-03,7,64.0,2620
2026-08-04,1,79.4,1445
2026-08-04,7,58.8,1445
2026-08-05,7,54.9,1553
2026-08-07,1,83.9,3377
2026-08-07,7,61.9,3377
2026-08-08,1,78.3,1672
2026-08-08,7,53.9,1672
2026-08-09,1,81.1,1351
2026-08-09,7,58.1,1351
2026-08-10,1,76.3,1179
2026-08-10,7,55.8,1179
2026-08-11,1,80.0,6096
2026-08-11,7,55.7,6096
2026-08-12,1,70.6,2958
2026-08-12,7,46.9,2958
2026-08-13,1,87.5,2513
2026-08-13,7,71.9,2513
2026-08-14,1,79.0,1416
2026-08-14,7,58.5,1416
2026-08-15,1,77.8,3299
2026-08-15,7,51.7,3299
2026-08-16,1,79.8,3960
2026-08-16,7,53.1,3960
2026-08-17,1,79.9,1769
2026-08-18,1,79.3,6876
2026-08-19,1,78.4,2329
2026-08-20,1,80.7,2264
2026-08-21,1,78.4,2570
2026-08-22,1,79.4,3190
